32x32
::terrain
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,
grass,water,water,grass,grass,grass,water,water,grass,grass,grass,water,water,grass,grass,grass,water,water,grass,grass,grass,water,water,grass,grass,grass,water,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,water,grass,grass,grass,grass,
